Accepted.binomial,Accepted.sub1,Accepted.sub2,Accepted.Rank,Family,Extinction.Risk,Locality,Climate,Life.form.orig,Life.form.edited,List,Synonym.binomial,,,,,,,,,,,,
Barleria_natalensis,na,na,species,Acanthaceae,EX,NAT,S,Phanerophyte,WP,Extinct,Barleria_natalensis,,,,,,,,,,,,
Basananthe_cupricola,na,na,species,Passifloraceae,EX,ZAI,MT,Hemicr.,WP,Extinct,Basananthe_cupricola,,,,,,,,,,,,
Begonia_brevicaulis,na,na,species,Begoniaceae,CR,ASS,WT,Chamaephyte,WP,Rediscovered,Begonia_brevicaulis,,,,,,,,,,,,
Begonia_bufoderma,na,na,species,Begoniaceae,EW,cult,WT,Cham.,WP,Extinct,Begonia_bufoderma,,,,,,,,,,,,
Begonia_cowellii,na,na,species,Begoniaceae,EX,CUB,WT,Tuber_geophyte_or_cham.,WP,Extinct,Begonia_cowellii,,,,,,,,,,,,
Begonia_eiromischa,na,na,species,Begoniaceae,EX,MLY,WT,Cham._or_nanophan.,WP,Extinct,Begonia_eiromischa,,,,,,,,,,,,
Begonia_linearifolia,na,na,species,Begoniaceae,EX,CUB,WT,Chamaephyte,WP,Extinct,Begonia_linearifolia,,,,,,,,,,,,
Begonia_macrotis,na,na,species,Begoniaceae,EW,cult,WT,Cham.,WP,Extinct,Begonia_macrotis,,,,,,,,,,,,
Begonia_morelii,na,na,species,Begoniaceae,EW,cult,WT,Cham.,WP,Extinct,Begonia_morelii,,,,,,,,,,,,
Begonia_trullifolia,na,na,species,Begoniaceae,EX,MDG,T,Cham.,WP,Extinct,Begonia_trullifolia,,,,,,,,,,,,
Beilschmiedia_preussii,na,na,species,Lauraceae,EX,CMN,WT,Phan.,WP,Extinct,Beilschmiedia_preussii,,,,,,,,,,,,
Bertiera_bistipulata,na,na,species,Rubiaceae,EX,MAU,WT,Nanophan._or_phan.,WP,Extinct,Bertiera_bistipulata,,,,,,,,,,,,
Betula_halophila,na,na,species,Betulaceae,EX,CHX,G,Phan.,WP,Extinct,Betula_halophila,,,,,,,,,,,,
Betula_jinpingensis,na,na,species,Betulaceae,EW,CHC,G,Phan.,WP,Extinct,Betula_jinpingensis,,,,,,,,,,,,
Beyeria_cygnorum,na,na,species,Euphorbiaceae,EW,WAU,DT,Phanerophyte,WP,Extinct,Beyeria_cygnorum,,,,,,,,,,,,
Beyeria_lepidopetala,na,na,species,Euphorbiaceae,EX,WAU,DT,Phanerophyte,WP,Extinct,Beyeria_lepidopetala,,,,,,,,,,,,
Billardiera_laxiflora,na,na,species,Pittosporaceae,EW,WAU,DT,Nanophan.,WP,Extinct,Billardiera_laxiflora,,,,,,,,,,,,
Billbergia_buchholtzii,na,na,species,Bromeliaceae,EW,cult,WT,Hemicr._or_cham.,WP,Extinct,Billbergia_buchholtzii,,,,,,,,,,,,
Blutaparon_rigidum,na,na,species,Amaranthaceae,EX,GAL,MT,Nanophan.,WP,Extinct,Blutaparon_rigidum,,,,,,,,,,,,
Boechera_fructicosa,na,na,species,Brassicaceae,VU,MNT,G,Hemicryptophyte,HP,Rediscovered,Boechera_fructicosa,,,,,,,,,,,,
Boechera_fructicosa,na,na,species,Brassicaceae,VU,WYO,G,Hemicryptophyte,HP,Rediscovered,Boechera_fructicosa,,,,,,,,,,,,
Boechera_gunnisoniana,na,na,species,Brassicaceae,VU,COL,G,Hemicr._or_cham.,WP,Rediscovered,Boechera_gunnisoniana,,,,,,,,,,,,
Boechera_gunnisoniana,na,na,species,Brassicaceae,VU,UTA,G,Hemicr._or_cham.,WP,Rediscovered,Boechera_gunnisoniana,,,,,,,,,,,,
Bonania_myricifolia,na,na,species,Euphorbiaceae,EX,CUB,WT,Nanophan.,WP,Extinct,Bonania_myricifolia,,,,,,,,,,,,
Bouzetia_maritima,na,na,species,Rutaceae,EW,NWC,WT,Nanophan.,WP,Extinct,Bouzetia_maritima,,,,,,,,,,,,
Brachyscome_muelleri,na,na,species,Asteraceae,EN,SOA,S,Therophyte,A,Rediscovered,Brachyscome_muelleri,,,,,,,,,,,,
Brachystelma_occidentale,na,na,species,Apocynaceae,CR,CPP,S,Tuber_geophyte,HP,Rediscovered,Brachystelma_occidentale,,,,,,,,,,,,
Brassica_procumbens,na,na,species,Brassicaceae,VU,COR,S,Cham.,WP,Rediscovered,Brassica_procumbens,,,,,,,,,,,,
