Accepted.binomial,Accepted.sub1,Accepted.sub2,Accepted.Rank,Family,Extinction.Risk,Locality,Climate,Life.form.orig,Life.form.edited,List,Synonym.binomial
Bulbostylis_warei,na,na,species,Cyperaceae,Vulnerable,GEO,temperate,Hemicr.,WP,Rediscovered,Bulbostylis_warei
Bulbostylis_warei,na,na,species,Cyperaceae,Vulnerable,NCA,temperate,Hemicr.,WP,Rediscovered,Bulbostylis_warei
Bulbostylis_warei,na,na,species,Cyperaceae,Vulnerable,SCA,temperate,Hemicr.,WP,Rediscovered,Bulbostylis_warei
Butia_leptospatha,na,na,species,,,,,,,Synonym,Syagrus_leptospatha
Byttneria_ivorensis,na,na,species,Malvaceae,Extinct,IVO,wet tropical,Phan.,WP,Extinct,Byttneria_ivorensis
Cadaba_parvula,na,na,species,Capparaceae,Extinct in the wild,KEN,tropical general,Nanophan.,WP,Extinct,Cadaba_parvula
Caesia_rigidifolia,na,na,species,Xanthorrhoeaceae,Extinct in the wild,WAU,desert/dry shrubland,Hemicr.,WP,Extinct,Caesia_rigidifolia
Caladenia_brachyscapa,na,na,species,Orchidaceae,Critically endangered,VIC,wet tropical,Tuber_geophyte,HP,Rediscovered,Caladenia_brachyscapa
Caladenia_brachyscapa,na,na,species,Orchidaceae,Critically endangered,TAS,wet tropical,Tuber_geophyte,HP,Rediscovered,Caladenia_brachyscapa
Caladenia_carnea,na,na,species,,,,,,,Synonym,Caladenia_atkinsonii
Caladenia_pumila,na,na,species,Orchidaceae,Extinct,VIC,subtropical,Tuber_geophyte,HP,Extinct,Caladenia_pumila
Calamagrostis_canadensis,var,langsdorfii,var,,,,,,,Synonym,Calamagrostis_nubila
Calamagrostis_drummondii,na,na,species,Poaceae,Endangered,WAU,subtropical,Hemicr.,WP,Rediscovered,Calamagrostis_drummondii
Calamagrostis_drummondii,na,na,species,,,,,,,Synonym,Deyeuxia_drummondii
Calamagrostis_lawrencei,na,na,species,Poaceae,Extinct,TAS,subtropical,Hemicryptophyte,HP,Extinct,Calamagrostis_lawrencei
Calamagrostis_lawrencei,na,na,species,,,,,,,Synonym,Deyeuxia_lawrencei
Calamagrostis_simlensis,na,na,species,Poaceae,Extinct in the wild,WHM,temperate,Hemicr.,WP,Extinct,Calamagrostis_simlensis
Calamagrostis_simlensis,na,na,species,,,,,,,Synonym,Deyeuxia_simlensis
Calandrinia_ciliata,na,na,species,,,,,,,Synonym,Calandrinia_feltonii
Calandrinia_composita,na,na,species,Portulacaceae,Data deficient,WAU,desert/dry shrubland,ther.,A,Rediscovered,Calandrinia_composita
Calandrinia_dielsii,na,na,species,Portulacaceae,Extinct in the wild,WAU,desert/dry shrubland,ther.,A,Extinct,Calandrinia_dielsii
Calandrinia_sphaerophylla,na,na,species,Portulacaceae,Data deficient,SOA,desert/dry shrubland,ther.,A,Rediscovered,Calandrinia_sphaerophylla
Calanthe_ecallosa,na,na,species,Orchidaceae,Critically endangered,JAW,wet tropical,Hemicr.,WP,Rediscovered,Calanthe_ecallosa
Calanthe_triplicata,na,na,species,,,,,,,Synonym,Calanthe_breviflos
Calanthe_whiteana,na,na,species,Orchidaceae,Critically endangered,EHM,subtropical,Hemicr.,WP,Rediscovered,Calanthe_whiteana
Calanthe_whiteana,na,na,species,Orchidaceae,Critically endangered,MYA,subtropical,Hemicr.,WP,Rediscovered,Calanthe_whiteana
Calathea_martinicensis,na,na,species,Marantaceae,Extinct,WIN,wet tropical,Hemicr.,WP,Extinct,Calathea_martinicensis
Caliphruria_tenera,na,na,species,Amaryllidaceae,Extinct,CLM,tropical general,geophyte,HP,Extinct,Caliphruria_tenera
Callitriche_hermaphroditica,subsp,hermaphroditica,subsp,,,,,,,Synonym,Callitriche_fassettii
Calochortus_monanthus,na,na,species,Liliaceae,Extinct,CAL,subtropical,Bulb_geophyte,HP,Extinct,Calochortus_monanthus
Calospatha_scortechinii,na,na,species,,,,,,,Synonym,Calospatha_confusa
Calothamnus_accedens,na,na,species,Myrtaceae,Vulnerable,WAU,subtropical,Nanophan.,WP,Rediscovered,Calothamnus_accedens
Calothamnus_sanguineus,na,na,species,,,,,,,Synonym,Calothamnus_blepharantherus
Calycadenia_fremontii,na,na,species,Asteraceae,LR,CAL,temperate,ther.,A,Rediscovered,Calycadenia_fremontii
Calycadenia_fremontii,na,na,species,Asteraceae,LR,ORE,temperate,ther.,A,Rediscovered,Calycadenia_fremontii
Campanula_oligosperma,na,na,species,Campanulaceae,Extinct,TUR,temperate,Hemicr.,WP,Extinct,Campanula_oligosperma
Campanula_robinsiae,na,na,species,Campanulaceae,Critically endangered,FLA,subtropical,ther.,A,Rediscovered,Campanula_robinsiae
Campomanesia_guaviroba,na,na,species,,,,,,,Synonym,Campomanesia_punctulata
Campomanesia_lundiana,na,na,species,Myrtaceae,Extinct,BZL,wet tropical,Nanophan._or_phan.,WP,Extinct,Campomanesia_lundiana
Campylocentrum_latifolium,na,na,species,Orchidaceae,Extinct in the wild,BZL,seasonally dry tropical,epiphyte,E,Extinct,Campylocentrum_latifolium
Cantua_cordata,na,na,species,Polemoniaceae,Extinct,PER,tropical general,Nanophan.,WP,Extinct,Cantua_cordata
Capanemia_perpusilla,na,na,species,Orchidaceae,Extinct in the wild,cult,tropical general,Hemicr._or_cham.,WP,Extinct,Capanemia_perpusilla
Capanemia_pygmaea,na,na,species,Orchidaceae,Extinct in the wild,cult,seasonally dry tropical,Hemicr._or_cham.,WP,Extinct,Capanemia_pygmaea
Carex_aboriginum,na,na,species,Cyperaceae,Critically endangered,IDA,temperate,Hemicr.,WP,Rediscovered,Carex_aboriginum
Carex_paupera,na,na,species,Cyperaceae,Vulnerable,VIC,subtropical,Hemicr.,WP,Rediscovered,Carex_paupera
Carex_repanda,na,na,species,Cyperaceae,Vulnerable,CHC,temperate,Hemicr.,WP,Rediscovered,Carex_repanda
Carex_repanda,na,na,species,Cyperaceae,Vulnerable,ASS,temperate,Hemicr.,WP,Rediscovered,Carex_repanda
Carmichaelia_juncea,na,na,species,,,,,,,Synonym,Carmichaelia_floribunda
Carmichaelia_juncea,na,na,species,,,,,,,Synonym,Carmichaelia_prona
Carpacoce_gigantea,na,na,species,Rubiaceae,Vulnerable,CPP,subtropical,Cham._or_nanophan.,WP,Rediscovered,Carpacoce_gigantea
Carpoxylon_macrospermum,na,na,species,Arecaceae,Critically endangered,VAN,wet tropical,Phan.,WP,Rediscovered,Carpoxylon_macrospermum
